participant,.draw,beta
6980d9a70a7862a47c69046d,23,2.2139251
6981150699107501d80e74b6,23,1.7891243
6981e6c2e26c88d954f297eb,23,0.065156539
69829236d776a93cf3afa632,23,0.72691177
698341d57fe7b870bddf91b8,23,-1.2348813
6984a9246122d3bd4ca0833e,23,2.1883286
69d5525ec7afcfce08d8608b,23,0.26462983
69d555ce85e30d6215e559d9,23,1.5914463
69dac2125e535db5a698ea18,23,0.13160044
69e913482ae5864d44e6387c,23,0.89036356
60f19a691466276fe085b461,24,0.72796734
61563a4b0def9000ccc976ec,24,-0.19199064
62ebe597372fdef388b734b3,24,0.84823112
667bd577710d52a05ac09036,24,1.6982375
69728435c9476fe76dd2ab2f,24,0.048602174
697a645e36e6f14eea2b396b,24,0.087602235
697caeea2ec1c2604535f8aa,24,0.61833482
6980792fded33a62e27ce7cc,24,1.8586932
69808775dc84b90f4adafb2f,24,1.9978797
6980990e5c9007100eb282b6,24,1.0130799
6980d9a70a7862a47c69046d,24,1.8531243
6981150699107501d80e74b6,24,1.497176
6981e6c2e26c88d954f297eb,24,0.76483859
69829236d776a93cf3afa632,24,1.0690302
698341d57fe7b870bddf91b8,24,-1.0900775
6984a9246122d3bd4ca0833e,24,1.6165426
69d5525ec7afcfce08d8608b,24,1.515339
69d555ce85e30d6215e559d9,24,0.60708181
69dac2125e535db5a698ea18,24,0.080696991
69e913482ae5864d44e6387c,24,0.9630136
60f19a691466276fe085b461,25,1.1309987
61563a4b0def9000ccc976ec,25,-0.24503005
62ebe597372fdef388b734b3,25,0.72053765
667bd577710d52a05ac09036,25,1.4331975
69728435c9476fe76dd2ab2f,25,0.43148706
697a645e36e6f14eea2b396b,25,0.013242847
697caeea2ec1c2604535f8aa,25,0.42775415
6980792fded33a62e27ce7cc,25,1.4166881
69808775dc84b90f4adafb2f,25,1.2665705
6980990e5c9007100eb282b6,25,0.024100412
6980d9a70a7862a47c69046d,25,1.3643544
6981150699107501d80e74b6,25,1.6589105
6981e6c2e26c88d954f297eb,25,0.720198
69829236d776a93cf3afa632,25,1.5715734
698341d57fe7b870bddf91b8,25,-0.92014762
6984a9246122d3bd4ca0833e,25,2.0237461
69d5525ec7afcfce08d8608b,25,0.83313976
69d555ce85e30d6215e559d9,25,0.73664985
69dac2125e535db5a698ea18,25,0.096248982
69e913482ae5864d44e6387c,25,1.4626057
60f19a691466276fe085b461,26,1.0058801
61563a4b0def9000ccc976ec,26,-0.17763327
62ebe597372fdef388b734b3,26,0.92182069
667bd577710d52a05ac09036,26,1.6759408
69728435c9476fe76dd2ab2f,26,0.29417918
697a645e36e6f14eea2b396b,26,0.20523541
697caeea2ec1c2604535f8aa,26,0.4823583
6980792fded33a62e27ce7cc,26,2.337111
69808775dc84b90f4adafb2f,26,0.8187052
6980990e5c9007100eb282b6,26,0.53818106
6980d9a70a7862a47c69046d,26,2.1496813
6981150699107501d80e74b6,26,1.810065
6981e6c2e26c88d954f297eb,26,0.6303883
69829236d776a93cf3afa632,26,1.3782107
698341d57fe7b870bddf91b8,26,-1.2907118
6984a9246122d3bd4ca0833e,26,1.8088731
69d5525ec7afcfce08d8608b,26,1.0513827
69d555ce85e30d6215e559d9,26,0.35120986
69dac2125e535db5a698ea18,26,-0.17194727
69e913482ae5864d44e6387c,26,1.7209893
60f19a691466276fe085b461,27,0.3749983
61563a4b0def9000ccc976ec,27,0.35291607
62ebe597372fdef388b734b3,27,1.0336018
667bd577710d52a05ac09036,27,0.66980638
69728435c9476fe76dd2ab2f,27,-0.301885
697a645e36e6f14eea2b396b,27,-0.15655283
697caeea2ec1c2604535f8aa,27,0.41334455
6980792fded33a62e27ce7cc,27,2.5729778
69808775dc84b90f4adafb2f,27,1.44501
6980990e5c9007100eb282b6,27,0.99141688
6980d9a70a7862a47c69046d,27,2.2544866
6981150699107501d80e74b6,27,1.2610937
6981e6c2e26c88d954f297eb,27,0.19972678
69829236d776a93cf3afa632,27,0.35582361
698341d57fe7b870bddf91b8,27,-1.442514
6984a9246122d3bd4ca0833e,27,1.6818987
69d5525ec7afcfce08d8608b,27,0.20496869
69d555ce85e30d6215e559d9,27,1.3609784
69dac2125e535db5a698ea18,27,-0.48162319
69e913482ae5864d44e6387c,27,0.86304244
60f19a691466276fe085b461,28,0.84267206
61563a4b0def9000ccc976ec,28,0.083735226
62ebe597372fdef388b734b3,28,0.49161859
667bd577710d52a05ac09036,28,1.9022448
69728435c9476fe76dd2ab2f,28,0.34971098
697a645e36e6f14eea2b396b,28,0.51131197
697caeea2ec1c2604535f8aa,28,1.5108454
